t_h,delta_eta_Pas,K_alt_MPa,K_ratio,lambda_ox,lambda_fri,lambda_cav,lambda_tot
3046.1,0.91383,497.1505,0.3314,3291819080774032855356883234327195583091746074005971402752.0000,0.0000,0.1355,3291819080774032855356883234327195583091746074005971402752.0000
3056.1,0.91683,495.5025,0.3303,5089065612844477369818684135206700582641785865675592433664.0000,0.0000,0.1355,5089065612844477369818684135206700582641785865675592433664.0000
3066.1,0.91984,493.8571,0.3292,7867561423134810604559273512143084753654937243425917894656.0000,0.0000,0.1355,7867561423134810604559273512143084753654937243425917894656.0000
3076.2,0.92285,492.2144,0.3281,12163042777551856847572039905744742606486818768814465875968.0000,0.0000,0.1355,12163042777551856847572039905744742606486818768814465875968.0000
3086.2,0.92585,490.5744,0.3270,18803743835230029155687738409187017254623330540336682369024.0000,0.0000,0.1355,18803743835230029155687738409187017254623330540336682369024.0000
3096.2,0.92886,488.9370,0.3260,29070092795653969648634870794044385203684609531964897099776.0000,0.0000,0.1355,29070092795653969648634870794044385203684609531964897099776.0000
3106.2,0.93186,487.3023,0.3249,44941597936717205518583647252466474051289378865994107191296.0000,0.0000,0.1355,44941597936717205518583647252466474051289378865994107191296.0000
3116.2,0.93487,485.6703,0.3238,69478526928111499122513383055286057948751589843929455919104.0000,0.0000,0.1355,69478526928111499122513383055286057948751589843929455919104.0000
3126.3,0.93788,484.0408,0.3227,107411972998771521916404743588707512589063275030467944906752.0000,0.0000,0.1355,107411972998771521916404743588707512589063275030467944906752.0000
3136.3,0.94088,482.4140,0.3216,166056081693072530325263117006573503350912652576897934295040.0000,0.0000,0.1355,166056081693072530325263117006573503350912652576897934295040.0000
3146.3,0.94389,480.7897,0.3205,256718329413542502239879705348709211114244239121462767648768.0000,0.0000,0.1355,256718329413542502239879705348709211114244239121462767648768.0000
3156.3,0.94689,479.1681,0.3194,396879776909896931033290588063186879041128127744634735558656.0000,0.0000,0.1355,396879776909896931033290588063186879041128127744634735558656.0000
3166.3,0.94990,477.5490,0.3184,613565683758848762130760021393990298452835190920930327003136.0000,0.0000,0.1355,613565683758848762130760021393990298452835190920930327003136.0000
3176.4,0.95291,475.9325,0.3173,948556389588808499491636579658858957557069274964371395575808.0000,0.0000,0.1355,948556389588808499491636579658858957557069274964371395575808.0000
3186.4,0.95591,474.3185,0.3162,1466443199231119128201459775961443096157674223053893814714368.0000,0.0000,0.1355,1466443199231119128201459775961443096157674223053893814714368.0000
3196.4,0.95892,472.7071,0.3151,2267082569021969526962986705918561702677058911258482168561664.0000,0.0000,0.1355,2267082569021969526962986705918561702677058911258482168561664.0000
